"Name","Nationality","Pos","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","GoalsAgainst","GoalsAgainst/90","SotAgainst","Saves","SavePercentage","Wins","Draws","Losses","CleanSheets","CleanSheetPercent","PensAttempted","PensAllowed","PensSaved","PensMissed","PenSavePercent","Matches","Season"
"Caoimhín Kelleher","ie IRL","GK","Liverpool","22","1998","2","2","180","2.0","2","1.00","8","6","75.0","1","1","0","1","50.0","0","0","0","0","","Matches","2021/2022"
"Kristoffer Klaesson","no NOR","GK","Leeds United","20","2000","1","0","36","0.4","0","0.00","4","4","100.0","0","0","0","0","","0","0","0","0","","Matches","2021/2022"
"Tim Krul","nl NED","GK","Norwich City","33","1988","29","29","2,610","29.0","62","2.14","165","105","66.7","4","5","20","5","17.2","8","7","0","1","0.0","Matches","2021/2022"
"Bernd Leno","de GER","GK","Arsenal","29","1992","4","4","360","4.0","9","2.25","19","10","52.6","1","0","3","1","25.0","0","0","0","0","","Matches","2021/2022"
"Hugo Lloris","fr FRA","GK","Tottenham","34","1986","38","38","3,420","38.0","40","1.05","137","98","72.3","22","5","11","16","42.1","2","2","0","0","0.0","Matches","2021/2022"
"Jonas Lössl","dk DEN","GK","Brentford","32","1989","2","2","180","2.0","5","2.50","7","2","28.6","0","0","2","0","0.0","0","0","0","0","","Matches","2021/2022"
"Emiliano Martínez","ar ARG","GK","Aston Villa","28","1992","36","36","3,240","36.0","48","1.33","140","93","68.6","13","6","17","11","30.6","6","4","1","1","20.0","Matches","2021/2022"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2021/2022"
"Alex McCarthy","eng ENG","GK","Southampton","31","1989","17","17","1,530","17.0","27","1.59","71","44","62.0","3","7","7","5","29.4","0","0","0","0","","Matches","2021/2022"
"Edouard Mendy","sn SEN","GK","Chelsea","29","1992","34","34","3,060","34.0","31","0.91","102","72","75.5","19","10","5","14","41.2","6","6","0","0","0.0","Matches","2021/2022"
"Illan Meslier","fr FRA","GK","Leeds United","21","2000","38","38","3,384","37.6","79","2.10","220","142","66.4","9","11","18","5","13.2","5","5","0","0","0.0","Matches","2021/2022"
"Robin Olsen","se SWE","GK","Aston Villa","31","1990","1","1","90","1.0","3","3.00","5","2","40.0","0","0","1","0","0.0","0","0","0","0","","Matches","2021/2022"
"Jordan Pickford","eng ENG","GK","Everton","27","1994","35","35","3,150","35.0","58","1.66","170","116","66.5","10","6","19","7","20.0","1","1","0","0","0.0","Matches","2021/2022"
"Nick Pope","eng ENG","GK","Burnley","29","1992","36","36","3,240","36.0","47","1.31","165","119","74.5","7","14","15","9","25.0","5","5","0","0","0.0","Matches","2021/2022"
"Aaron Ramsdale","eng ENG","GK","Arsenal","23","1998","34","34","3,060","34.0","39","1.15","128","90","73.4","21","3","10","12","35.3","6","5","0","1","0.0","Matches","2021/2022"
"David Raya","es ESP","GK","Brentford","25","1995","24","24","2,160","24.0","27","1.13","103","76","77.7","10","5","9","8","33.3","4","4","0","0","0.0","Matches","2021/2022"
"John Ruddy","eng ENG","GK","Wolves","34","1986","2","1","135","1.5","3","2.00","7","4","57.1","0","1","0","0","0.0","0","0","0","0","","Matches","2021/2022"
"José Sá","pt POR","GK","Wolves","28","1993","37","37","3,285","36.5","40","1.10","160","121","80.6","15","5","17","11","29.7","10","9","0","1","0.0","Matches","2021/2022"
"Robert Sánchez","es ESP","GK","Brighton","23","1997","37","37","3,329","37.0","42","1.14","141","99","72.3","12","15","10","11","29.7","4","3","0","1","0.0","Matches","2021/2022"
"Kasper Schmeichel","dk DEN","GK","Leicester City","34","1986","37","37","3,330","37.0","58","1.57","187","128","72.7","13","10","14","7","18.9","9","7","2","0","22.2","Matches","2021/2022"
"Jason Steele","eng ENG","GK","Brighton","30","1990","1","1","90","1.0","2","2.00","5","3","60.0","0","0","1","0","0.0","0","0","0","0","","Matches","2021/2022"
"Jed Steer","eng ENG","GK","Aston Villa","28","1992","1","1","90","1.0","3","3.00","4","1","25.0","0","0","1","0","0.0","0","0","0","0","","Matches","2021/2022"
"Zack Steffen","us USA","GK","Manchester City","26","1995","1","1","90","1.0","0","0.00","2","2","100.0","1","0","0","1","100.0","0","0","0","0","","Matches","2021/2022"
"Danny Ward","wls WAL","GK","Leicester City","28","1993","1","1","90","1.0","1","1.00","5","4","80.0","1","0","0","0","0.0","0","0","0","0","","Matches","2021/2022"
"Freddie Woodman","eng ENG","GK","Newcastle Utd","24","1997","4","4","360","4.0","12","3.00","22","9","54.5","0","1","3","0","0.0","3","2","1","0","33.3","Matches","2021/2022"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2020/2021"
"Adrián","es ESP","GK","Liverpool","33","1987","3","3","270","3.0","9","3.00","18","9","50.0","1","1","1","1","33.3","0","0","0","0","","Matches","2020/2021"
"Rúnar Alex Rúnarsson","is ISL","GK","Arsenal","25","1995","1","0","16","0.2","0","0.00","2","2","100.0","0","0","0","0","","0","0","0","0","","Matches","2020/2021"
"Alisson","br BRA","GK","Liverpool","27","1992","33","33","2,970","33.0","32","0.97","115","82","75.7","18","8","7","10","30.3","8","4","1","3","20.0","Matches","2020/2021"
"Alphonse Areola","fr FRA","GK","Fulham","27","1993","36","36","3,240","36.0","48","1.33","161","114","73.9","5","13","18","9","25.0","6","6","0","0","0.0","Matches","2020/2021"
